                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.52704,                 1.1368,                 1.4267,                0.70684,                0.69477,                 0.7232,                0.58712,                0.36194,                 1.0734,                 1.2246,               0.005809,               0.005809,               0.005809
                    130,                0.51763,                 1.1087,                 1.4223,                0.76146,                 0.6771,                0.72316,                0.58428,                0.36951,                 1.0213,                 1.2248,               0.005776,               0.005776,               0.005776
                    131,                0.52611,                 1.1026,                 1.4096,                0.76422,                0.69656,                0.73943,                0.59339,                0.37883,                 1.0192,                 1.2458,               0.005743,               0.005743,               0.005743
                    132,                0.53473,                 1.0844,                 1.4265,                  0.673,                0.70812,                 0.7131,                  0.582,                0.35393,                 1.0599,                 1.2027,                0.00571,                0.00571,                0.00571
                    133,                0.52157,                 1.0761,                 1.4158,                0.75052,                 0.6644,                0.71551,                0.58334,                0.36018,                 1.0888,                 1.2057,               0.005677,               0.005677,               0.005677
                    134,                0.53755,                 1.1055,                 1.4284,                0.75245,                0.66211,                0.71633,                0.57761,                0.37598,                 1.0849,                 1.2188,               0.005644,               0.005644,               0.005644
                    135,                0.51963,                  1.093,                 1.4143,                0.73572,                0.68227,                0.72303,                0.58584,                0.37035,                 1.0765,                 1.2097,               0.005611,               0.005611,               0.005611
                    136,                0.55472,                 1.1235,                 1.4431,                0.79664,                0.66164,                0.73991,                0.59848,                 0.3592,                 1.0851,                 1.2246,               0.005578,               0.005578,               0.005578
                    137,                0.51607,                 1.0973,                 1.4131,                0.79762,                0.64567,                0.70613,                0.57991,                0.35887,                 1.1224,                 1.2178,               0.005545,               0.005545,               0.005545
                    138,                0.55796,                 1.1324,                 1.4352,                0.75288,                0.66316,                0.70506,                0.57208,                0.36437,                 1.1135,                 1.2206,               0.005512,               0.005512,               0.005512
                    139,                0.54414,                  1.114,                 1.4363,                0.86775,                 0.6176,                 0.7012,                0.57045,                0.37295,                 1.1312,                 1.2228,               0.005479,               0.005479,               0.005479
                    140,                0.54163,                 1.1176,                 1.4213,                0.83641,                0.66363,                0.73966,                0.60273,                0.36275,                 1.0491,                 1.2108,               0.005446,               0.005446,               0.005446
                    141,                0.53518,                 1.1004,                 1.4186,                 0.8335,                0.63832,                0.73688,                0.60081,                0.36604,                 1.0467,                 1.2208,               0.005413,               0.005413,               0.005413
                    142,                0.53345,                 1.0578,                 1.4014,                0.76593,                  0.659,                0.69342,                0.57143,                0.37786,                 1.1623,                 1.2224,                0.00538,                0.00538,                0.00538
                    143,                 0.5402,                 1.0899,                 1.4209,                0.72357,                0.67241,                0.72504,                0.60113,                0.36274,                 1.0725,                 1.2032,               0.005347,               0.005347,               0.005347
                    144,                0.52382,                  1.058,                 1.3937,                 0.8044,                0.61552,                0.73379,                0.60164,                0.36473,                 1.0496,                 1.2085,               0.005314,               0.005314,               0.005314
                    145,                 0.5248,                 1.0634,                 1.3924,                0.73808,                 0.6438,                0.69224,                0.56686,                0.36015,                 1.1829,                 1.2084,               0.005281,               0.005281,               0.005281
                    146,                0.52736,                 1.0421,                 1.3916,                 0.8556,                0.59864,                0.73123,                0.60054,                0.37349,                 1.0548,                 1.1995,               0.005248,               0.005248,               0.005248
                    147,                0.53557,                 1.0622,                 1.3855,                 0.7432,                0.66457,                0.72389,                  0.592,                0.37039,                 1.0723,                 1.1965,               0.005215,               0.005215,               0.005215
                    148,                0.53176,                 1.0301,                 1.4059,                0.72341,                0.70567,                 0.7377,                0.60382,                0.36121,                 1.0588,                 1.1964,               0.005182,               0.005182,               0.005182
                    149,                0.54632,                 1.0542,                 1.4017,                0.77911,                0.67281,                 0.7354,                0.60305,                0.37446,                 1.0382,                  1.206,               0.005149,               0.005149,               0.005149
                    150,                0.53951,                 1.0584,                 1.4037,                0.79891,                0.66175,                0.72599,                0.59951,                0.36927,                 1.1198,                 1.1998,               0.005116,               0.005116,               0.005116
                    151,                0.53075,                 1.0327,                 1.3924,                0.78498,                0.67864,                0.72108,                0.57952,                0.39563,                 1.1206,                 1.2284,               0.005083,               0.005083,               0.005083
